Make,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,Model
Cadillac,3730.0,3203.0,1750.0,1250.0,787.0,188.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,XLR
Cadillac,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,7785.0,31987.0,22473.0,11576.0,XT4
Cadillac,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,39485.0,68312.0,60566.0,49878.0,35224.0,28378.0,XT5
Cadillac,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,11560.0,22610.0,20663.0,XT6
Cadillac,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15049.0,32559,24335.0,23112.0,22171.0,16275.0,17729.0,11306.0,1200.0,0.0,XTS
Chevrolet,19215.0,386.0,25.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Astro
Chevrolet,63186.0,57076.0,55550.0,35003.0,16432.0,20515.0,20088.0,23995.0,16526,92.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,Avalanche
Chevrolet,68085.0,58244.0,67028.0,55360.0,38516.0,48623.0,28601.0,67.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Aveo
Chevrolet,4936.0,114.0,7.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,27.0,58116.0,94598.0,70323.0,Blazer
Chevrolet,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,579.0,23297.0,18020.0,16419.0,20753.0,24827.0,Bolt
Chevrolet,0.0,0.0,0.0,0.0,61648.0,81299.0,88249.0,84391.0,80567,86297.0,77502.0,72705.0,67940.0,50963.0,48266.0,29777.0,21893.0,Camaro
Chevrolet,0.0,0.0,0.0,0.0,0.0,0.0,880.0,3734.0,3899,3727.0,1845.0,1021.0,693.0,0.0,0.0,0.0,0.0,Caprice PPV
Chevrolet,0.0,0.0,0.0,0.0,0.0,0.0,7038.0,36935.0,47600,35368.0,55.0,2.0,0.0,0.0,0.0,0.0,0.0,Captiva Sport
Chevrolet,18960.0,355.0,57.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Cavalier
Chevrolet,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,530.0,10283.0,7019.0,8348.0,0.0,0.0,0.0,0.0,City Express
Chevrolet,212667.0,211449.0,200620.0,188045.0,104724.0,97376.0,856.0,11.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Cobalt
Chevrolet,128359.0,93876.0,75716.0,54346.0,32413.0,24642.0,31026.0,36840.0,3412,8003.0,84430.0,108725.0,112996.0,134842.0,121703.0,96236.0,73008.0,Colorado
Chevrolet,32489.0,36518.0,33685.0,26971.0,13934.0,12624.0,13164.0,14132.0,17291,34839.0,33329.0,29995.0,25079.0,18789.0,17988.0,21627.0,33042.0,Corvette
Chevrolet,0.0,0.0,0.0,0.0,0.0,24495.0,231732.0,237758.0,248224,273060.0,226602.0,188876.0,184751.0,142618.0,47975.0,783.0,0.0,Cruze
Chevrolet,130542.0,113888.0,89552.0,67447.0,86148.0,149979.0,193274.0,218621.0,238192,242242.0,277589.0,242195.0,290458.0,332621.0,346049.0,270994.0,165325.0,Equinox
Chevrolet,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79087,79352.0,63382.0,68007.0,69164.0,66963.0,77457.0,55040.0,44357.0,Express
Chevrolet,41011.0,101298.0,105175.0,96053.0,70842.0,75401.0,37012.0,21.0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,HHR
Chevrolet,246481.0,289868.0,311128.0,265840.0,165565.0,172078.0,171434.0,169351.0,156797,140280.0,116825.0,97006.0,75877.0,56557.0,44978.0,9943.0,750.0,Impala
Chevrolet,203503.0,163853.0,128312.0,178253.0,161568.0,198770.0,204808.0,210951.0,200594,188519.0,194854.0,227881.0,185857.0,144542.0,120302.0,102652.0,39376.0,Malibu
Chevrolet,42358.0,18.0,17.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Malibu Classic
Chevrolet,33562.0,34113.0,15784.0,711.0,6.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Monte Carlo
Chevrolet,149.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,S10
Chevrolet,705980.0,636069.0,618257.0,465065.0,316544.0,370135.0,415130.0,418312.0,480414,529755.0,600544.0,574876.0,585864.0,585582.0,575569.0,593057.0,529765.0,Silverado
Chevrolet,0.0,0.0,0.0,0.0,0.0,0.0,15778.0,81247.0,85646,93518.0,64775.0,55255.0,30290.0,20613.0,13970.0,13007.0,1581.0,Sonic
Chevrolet,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12385.0,34130,39159.0,32853.0,35511.0,22589.0,23603.0,31280.0,33480.0,24460.0,Spark
Chevrolet,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,418,2479.0,2895.0,3013.0,4055.0,0.0,0.0,0.0,0.0,SS
Chevrolet,8107.0,3803.0,244.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SSR
Chevrolet,87011.0,77211.0,83673.0,54058.0,41055.0,45152.0,49427.0,48116.0,51260,55009.0,50866.0,60082.0,56516.0,60633.0,51928.0,33644.0,85159.0,Suburban
Chevrolet,152305.0,161491.0,146256.0,91578.0,73254.0,75675.0,80527.0,68904.0,83502,97726.0,88342.0,103306.0,98961.0,104152.0,101189.0,88237.0,106019.0,Tahoe
Chevrolet,474.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Tracker
Chevrolet,244150.0,174797.0,134626.0,74878.0,8829.0,218.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,34292.0,90163.0,TrailBlazer
Chevrolet,0.0,0.0,0.0,9456.0,91074.0,106744.0,107131.0,85606.0,96467,103943.0,119945.0,116701.0,123506.0,146264.0,147122.0,125546.0,116251.0,Traverse
Chevrolet,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,739.0,63030.0,79016.0,79289.0,89917.0,116817.0,106299.0,42590.0,Trax
Chevrolet,72980.0,58699.0,69885.0,40456.0,1758.0,76.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Uplander
Chevrolet,7029.0,196.0,25.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Venture
Chevrolet,0.0,0.0,0.0,0.0,0.0,326.0,7671.0,23461.0,23094,18805.0,15393.0,24739.0,20349.0,18306.0,4911.0,68.0,0.0,Volt
Chrysler,0.0,0.0,0.0,0.0,0.0,255.0,87033.0,125476.0,122480,117363.0,167368.0,57294.0,18457.0,1043.0,48.0,9.0,15.0,200
Chrysler,144068.0,143647.0,120636.0,62352.0,38606.0,37116.0,36285.0,70747.0,57724,53382.0,53025.0,53241.0,51237.0,46593.0,29214.0,16473.0,16662.0,300
Chrysler,0.0,0.0,0.0,22254.0,5996.0,30.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Aspen
Chrysler,210.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Concorde
Chrysler,14665.0,8216.0,8774.0,2021.0,499.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Crossfire
